"","Name","placements","personality_development","exposure","academics","quality","Fees","VFM","Ranking"
"1","Indian Institute of Management, IIM A",0.935606060606061,0.250026950596654,0.351845580186097,0.558234758871702,2.09571335026051,18.5,8.82754313594476,1
"2","Indian Institute of Management,Calcutta",0.907934390957388,0.811060232051395,0.714285714285714,0.706622879036672,3.13990321633117,16.2,5.15939469590688,2
"3","Xavier Labour Relations Institute",0.762740330028007,0.184688280944393,0.138890599343186,0.30344548684105,1.38976469715664,16.8,12.0883772874442,3
"4","Faculty of Management Studies (FMS)",0.640038615357855,0.0931314031853486,0.0466954022988506,0.373502208556019,1.15336762939807,0.67,0.580907581349117,4
"5","S.P. Jain Institute of Management and Research",0.781457371382434,0.133871520178391,0.456345785440613,0.659028235351539,2.03070291235298,14,6.8941645352634,5
"6","Management Development Institute, Gurgaon",0.817528953145106,0.630380593597222,0.674550150519978,0.875377825191135,2.99783752245344,14.9,4.97024935087402,6
"7","Indian Institute of Management, Kozhikode",0.704770961067797,0.152014249448457,0.0964200191570881,0.440905874026893,1.39411110370024,13,9.32493828181666,7
"8","Indian Institute of Management, Indore",0.708640842227437,0.547553135914827,0.344827586206897,0.330087610122752,1.93110917447191,13,6.73188247037096,8
"9","International Management Institute, Delhi",0.436709938687457,0.142241379310345,0.437833538587849,0.639156460592876,1.65594131717853,13.5,8.15246280768086,9
"10","Indian Institute of Foreign Trade",0.593949486538995,0.326202198478484,0.15610632183908,0.203797252117041,1.2800552589736,12.8,9.99956830790536,10
"11","NMIMS, mumabi",0.537583894734186,0.147188894597399,0.184809455391352,0.371490627146239,1.24107287186918,11,8.86329904498914,11
"12","National Institute of Industrial Engineering",0.608631065021573,0.169792579608531,0.0163194444444444,0.257388290992508,1.05213138006706,8.1,7.69865831725669,12
"13","Xavier Institute of Management, Bhubaneswar",0.450793622749791,0.0699529474122239,0.0370330459770115,0.303682553627645,0.861462169766671,15,17.4122561923558,13
"14","Symbiosis Institute of Business Management",0.415981704037196,0.0578241636193297,0.209949712643678,0.304817336554653,0.988572916854857,10.5,10.6213712928792,14
"15","Department of Management Studies, IITD",0.399639312372433,0.134268185801928,0.00972222222222222,0.0344827586206897,0.578112479017273,4,6.91906877152964,15
"16","Jamnalal Bajaj Institute of Management Studies",0.75793215249918,0.204206836108677,0.0104166666666667,0.00424628450106157,0.976801939775585,2,2.04749798148383,16
"17","Vinod Gupta School of Management (IIT Kharagpur)",0.475820115823745,0.1970702391386,0.083234126984127,0.182856933680566,0.938981415627039,6.2,6.60289958546169,17
"18","T. A. Pai Management Institute",0.419259203189261,0.0444922102179709,0.0627822249589491,0.211036504798859,0.737570143165041,13.5,18.3033439261372,18
"19","Shailesh J. Mehta School of Management",0.598403027534264,0.25,0.0694940476190476,0.148431698618389,1.0663287737717,8.2,7.68993597630857,19
"20","Birla Institute of Management Technology",0.223652453740949,0.106915566099509,0.075419061302682,0.411181882519462,0.817168963662603,10,12.2373712716393,20
