"","CAT_Cutoff","AvgSal","MDPs","faculty","companies","Placement","internationalfaculty","studentexchange","guestspeakers","sexratio"
"1",90,18.81,6,92,125,100,9,27,68,3.63414634146341
"2",99.69,17.13,158,90,159,99,2,116,487,3.20183486238532
"3",97,16.25,6,69,90,100,2,19,34,3.22535211267606
"4",98.56,16.18,130,31,91,94.5,0,6,67,3
"5",92,17.2,75,49,79,100,14,20,113,1.50537634408602
"6",95.7,14.7,143,74,153,100,13,78,90,5.15384615384615
"7",85,12.31,104,63,146,100,0,21,24,1.856
"8",87.35,12.13,50,64,152,100,0,80,7,2.27857142857143
"9",92,9.92,61,64,57,100,12,22,172,1.36842105263158
"10",92,13.06,23,46,71,100,0,28,109,5.72727272727273
"11",97,15.3,86,30,124,88.7,4,12,116,3.45833333333333
"12",97,11.32,32,55,117,100,0,0,54,6.46666666666667
"13",94,12.08,52,56,52,97,0,4,64,2.69230769230769
"14",90,11.77,39,20,93,92.5,7,4,82,2.328125
"15",98.28,12.52,1,14,27,96,0,0,35,5.4
"16",90,16.18,3,5,89,100,0,0,37,7.5
"17",97,13.5,21,23,34,97,3,0,41,7.28571428571429
"18",80,8.5,17,45,79,100,1,3,82,2.1219512195122
"19",98.67,14.26,16,23,68,98.2,2,0,70,8.875
"20",80,6.8,90,63,75,94.7,0,15,38,1.66666666666667
